	gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
46926	ENSG00000262771	89.8371896808369	-0.0226042824606523	0.322532348267137	0.791340946607223	0.960022759226729
46927	ENSG00000262772	1.02933463474614	0.0143388933933602	0.334478452547926	0.462768740070076	NA
46928	ENSG00000262776	0	NA	NA	NA	NA
46929	ENSG00000262777	0.483731192188963	-0.0127901804101415	0.334323347125184	0.630436141413557	NA
46930	ENSG00000262784	0	NA	NA	NA	NA
46931	ENSG00000262785	0	NA	NA	NA	NA
46932	ENSG00000262786	0	NA	NA	NA	NA
46933	ENSG00000262788	121.208541542017	-0.0138707563578777	0.334456215308512	0.338257422623002	0.752776134086275
46934	ENSG00000262791	1.32333658686536	0.0145212919775094	0.334517431296082	0.419913569489742	NA
46935	ENSG00000262795	160.614427123542	-0.0734001066419237	0.301840845290059	0.604153025452864	0.906643559757098
46936	ENSG00000262796	0	NA	NA	NA	NA
46937	ENSG00000262801	0.473977573267141	-0.0127515299717607	0.334318824228081	0.634449186982102	NA
46938	ENSG00000262802	0	NA	NA	NA	NA
46939	ENSG00000262803	0	NA	NA	NA	NA
46940	ENSG00000262808	0	NA	NA	NA	NA
46941	ENSG00000262810	0.236988786633571	-0.0108991686784569	0.334139399913693	0.787758103807446	NA
46942	ENSG00000262814	285.851060907161	-0.0367089085401627	0.250729821691489	0.823608193352064	0.967232223058037
46943	ENSG00000262815	1.98696962222157	0.000275857390969173	0.333045393234795	0.995387689794478	NA
46944	ENSG00000262818	0	NA	NA	NA	NA
46945	ENSG00000262819	0	NA	NA	NA	NA
46946	ENSG00000262823	0	NA	NA	NA	NA
46947	ENSG00000262826	275.815628035878	0.411376137970511	0.302132119750207	0.0487569190684413	0.298625639423491
46948	ENSG00000262829	0.246742405555392	-0.0109897427016978	0.334146899777605	0.783153151673182	NA
46949	ENSG00000262831	0	NA	NA	NA	NA
46950	ENSG00000262833	0.758152128483857	-0.00414741873900955	0.333496569231934	0.852585506232733	NA
46951	ENSG00000262837	0	NA	NA	NA	NA
46952	ENSG00000262845	0	NA	NA	NA	NA
46953	ENSG00000262851	0	NA	NA	NA	NA
46954	ENSG00000262855	0	NA	NA	NA	NA
46955	ENSG00000262860	363.973812424841	-0.00979275792414198	0.250295174306936	0.950097368085902	0.990528523938675
46956	ENSG00000262862	0.246742405555392	-0.0109897427016978	0.334146899777605	0.783153151673182	NA
46957	ENSG00000262869	0	NA	NA	NA	NA
46958	ENSG00000262870	0.25	0.0107404406769818	0.334114676617603	0.760944501927839	NA
46959	ENSG00000262873	0.486988786633571	0.000229593900762267	0.333443005883653	0.986315396541617	NA
46960	ENSG00000262874	0.236988786633571	-0.0108991686784569	0.334139399913693	0.787758103807446	NA
46961	ENSG00000262877	6.26149978565382	0.0265906092479582	0.329024572420967	0.688532719778101	NA
46962	ENSG00000262879	21.1062919466249	0.171746031106221	0.377782501490895	0.123608719256145	0.486572596762158
46963	ENSG00000262881	0	NA	NA	NA	NA
46964	ENSG00000262884	0	NA	NA	NA	NA
46965	ENSG00000262885	0	NA	NA	NA	NA
46966	ENSG00000262892	0	NA	NA	NA	NA
46967	ENSG00000262896	0	NA	NA	NA	NA
46968	ENSG00000262898	0.246742405555392	-0.0109897427016978	0.334146899777605	0.783153151673182	NA
46969	ENSG00000262899	0	NA	NA	NA	NA
46970	ENSG00000262902	1.96746238437793	0.000704232048368168	0.33229287027649	0.986700769474337	NA
46971	ENSG00000262903	4.83805851780711	0.0726626414462719	0.34197660119307	0.181838738028216	NA
46972	ENSG00000262904	1.00489453403925	-0.00663721408533915	0.333626218946217	0.758135077220529	NA
46973	ENSG00000262911	11.8462460954476	0.102817595080413	0.348546624413488	0.184907761419958	0.584763000277905
46974	ENSG00000262919	70.0929133108207	0.229649240057027	0.35652330661639	0.185410601258408	0.585028778824869
46975	ENSG00000262921	0	NA	NA	NA	NA
46976	ENSG00000262922	0	NA	NA	NA	NA
46977	ENSG00000262927	0.473977573267141	-0.0127515299717607	0.334318824228081	0.634449186982102	NA
46978	ENSG00000262938	0	NA	NA	NA	NA
46979	ENSG00000262943	0.740227216666177	-0.0135978901367237	0.334426232067889	0.541320354481722	NA
46980	ENSG00000262946	0	NA	NA	NA	NA
46981	ENSG00000262950	0	NA	NA	NA	NA
46982	ENSG00000262952	0.246742405555392	-0.0109897427016978	0.334146899777605	0.783153151673182	NA
46983	ENSG00000262953	0.740227216666177	-0.0135978901367237	0.334426232067889	0.541320354481722	NA
46984	ENSG00000262959	0	NA	NA	NA	NA
46985	ENSG00000262961	0	NA	NA	NA	NA
46986	ENSG00000262962	0	NA	NA	NA	NA
46987	ENSG00000262966	0.25	0.0107404406769818	0.334114676617603	0.760944501927839	NA
46988	ENSG00000262967	0	NA	NA	NA	NA
46989	ENSG00000262974	0	NA	NA	NA	NA
46990	ENSG00000262979	0	NA	NA	NA	NA
46991	ENSG00000262980	0	NA	NA	NA	NA
46992	ENSG00000262986	0.236988786633571	-0.0108991686784569	0.334139399913693	0.787758103807446	NA
46993	ENSG00000262990	0	NA	NA	NA	NA
46994	ENSG00000262993	0	NA	NA	NA	NA
46995	ENSG00000262994	0	NA	NA	NA	NA
46996	ENSG00000262995	0	NA	NA	NA	NA
46997	ENSG00000262999	1.02933463474614	0.0143388933933602	0.334478452547926	0.462768740070076	NA
46998	ENSG00000263001	725.364747252377	-0.0526101823264004	0.169264676998413	0.717049885956814	0.944918797446264
46999	ENSG00000263002	59.8424869276813	0.020218782021269	0.297622404157267	0.885589306795025	0.97948629018725
47000	ENSG00000263004	13.6298762242769	-0.0236837563778128	0.320844002187853	0.79632397340889	0.961573062626556
47001	ENSG00000263006	6.47397757326714	0.0342397947505056	0.336019518787366	0.223154677839622	NA
47002	ENSG00000263011	1.04400195211922	0.0141754960419543	0.334472581360231	0.462878012514407	NA
47003	ENSG00000263012	0	NA	NA	NA	NA
47004	ENSG00000263014	0	NA	NA	NA	NA
47005	ENSG00000263017	0	NA	NA	NA	NA
47006	ENSG00000263020	0	NA	NA	NA	NA
47007	ENSG00000263022	0	NA	NA	NA	NA
47008	ENSG00000263028	0	NA	NA	NA	NA
47009	ENSG00000263033	0.236988786633571	-0.0108991686784569	0.334139399913693	0.787758103807446	NA
47010	ENSG00000263037	0.473977573267141	-0.0127515299717607	0.334318824228081	0.634449186982102	NA
47011	ENSG00000263041	0	NA	NA	NA	NA
47012	ENSG00000263042	0	NA	NA	NA	NA
47013	ENSG00000263045	0	NA	NA	NA	NA
47014	ENSG00000263050	0.25	0.0107404406769818	0.334114676617603	0.760944501927839	NA
47015	ENSG00000263051	0	NA	NA	NA	NA
47016	ENSG00000263057	0	NA	NA	NA	NA
47017	ENSG00000263063	0.483731192188963	-0.0127901804101415	0.334323347125184	0.630436141413557	NA
47018	ENSG00000263069	4.27453016343225	0.0312441895325161	0.331062987124706	0.597526747967902	NA
47019	ENSG00000263070	0	NA	NA	NA	NA
47020	ENSG00000263072	13.9790330683451	0.0184851644583558	0.323506535699344	0.829208695143647	0.968511744929022
47021	ENSG00000263080	2.71260329949535	-0.0155271298769255	0.331226767857457	0.743935136930886	NA
47022	ENSG00000263081	0.529334634746145	0.0128602906070157	0.334313079535666	0.599272471322019	NA
47023	ENSG00000263089	2.77613165387022	0.0205935300416665	0.331426176398292	0.679453020800186	NA
47024	ENSG00000263090	0	NA	NA	NA	NA
47025	ENSG00000263091	0	NA	NA	NA	NA
47026	ENSG00000263096	0.25	0.0107404406769818	0.334114676617603	0.760944501927839	NA
47027	ENSG00000263097	1.25005461356868	-0.00368405151658193	0.332852666134971	0.901660482178551	NA
47028	ENSG00000263098	0	NA	NA	NA	NA
47029	ENSG00000263101	0	NA	NA	NA	NA
47030	ENSG00000263103	0	NA	NA	NA	NA
47031	ENSG00000263105	0.236988786633571	-0.0108991686784569	0.334139399913693	0.787758103807446	NA
47032	ENSG00000263107	0	NA	NA	NA	NA
47033	ENSG00000263110	0.264667317373072	0.0108781744788164	0.334125837279427	0.754487187902722	NA
47034	ENSG00000263114	0	NA	NA	NA	NA
47035	ENSG00000263120	3.27121795541896	0.0286913798899744	0.33235156749796	0.565193044113243	NA
47036	ENSG00000263125	0	NA	NA	NA	NA
