	gene	sum159_dmso1.trimmed	sum159_dmso2.trimmed	sum159_jq1.trimmed	sum159_jq2.trimmed	symbol
142	ENSG00000103549	348.400276644214	321.356794675122	562.153382100406	648	RNF40
143	ENSG00000103657	190.485137088763	346.951583631547	512.395926434268	694	HERC1
144	ENSG00000103995	175.680592755439	212.341952823679	88.9282186373523	77	CEP152
145	ENSG00000104290	49.3484811110785	118.494393316785	345.126181854486	647	FZD3
146	ENSG00000104613	1411.36655977684	343.15976304541	254.080624678149	188	INTS10
147	ENSG00000104635	722.461763466189	668.308378306669	357.830213088394	274	SLC39A14
148	ENSG00000104774	103.631810333265	169.683971229637	326.070135003625	299	MAN2B1
149	ENSG00000105135	228.976952355404	238.884696926639	102.690919140752	118	ILVBL
150	ENSG00000105220	2239.43407282074	1964.16306361903	3233.17594902945	3163	GPI
151	ENSG00000105429	112.514536933259	136.505541100937	242.435262713734	286	MEGF8
152	ENSG00000105483	111.527567311037	118.494393316785	23.2907239288304	44	CARD8
153	ENSG00000105497	178.641501622104	125.130079342525	35.9947551627378	30	ZNF175
154	ENSG00000105618	78.9575697777256	71.0966359900712	160.917728962828	202	PRPF31
155	ENSG00000105619	23.6872709333177	41.7100264475084	0	0	TFPT
156	ENSG00000105854	428.344816044161	354.535224803822	206.440507550996	178	PON2
157	ENSG00000105974	3074.41037322019	3078.95831594335	2284.60828356436	1979	CAV1
158	ENSG00000106003	12.8306050888804	16.1152374910828	96.3389035237983	132	LFNG
159	ENSG00000106236	1968.01742670981	1973.64261508438	2675.25724400702	2997	NPTX2
160	ENSG00000106351	89.8142356221628	93.847559506894	383.238275556209	421	AGFG2
161	ENSG00000106355	277.338463844261	323.25270496819	155.624382615367	143	LSM5
162	ENSG00000106366	4084.08029675285	3828.79083685197	5795.15558120079	5800	SERPINE1
163	ENSG00000106546	302.0127043998	405.724802716673	806.705983353125	712	AHR
164	ENSG00000106682	706.670249510644	731.821373124466	363.123559435855	392	EIF4H
165	ENSG00000106976	54.2833292221863	56.877308792057	761.183204764956	95	DNM1
166	ENSG00000107159	574.416320132954	451.226649750319	275.254010067995	168	CA9
167	ENSG00000107738	100.6709014666	94.7955146534283	297.486064727333	422	VSIR
168	ENSG00000107984	99.6839318443785	103.327110972237	323.952796464641	325	DKK1
169	ENSG00000108828	938.608110732713	939.423550215474	1816.67646644877	1724	VAT1
170	ENSG00000109046	421.43602868861	435.111412259236	816.234006778555	871	WSB1
171	ENSG00000109689	77.970600155504	68.2527705504683	218.085869515412	228	STIM2
172	ENSG00000110619	661.269646888452	547.918074696815	333.480819890071	343	CARS
173	ENSG00000110697	138.17574711102	151.672823445485	284.782033493426	303	PITPNM1
174	ENSG00000110917	1117.24961235482	1052.23021265305	1526.60108660788	1583	MLEC
175	ENSG00000111196	201.3418029332	132.7137205148	30.7014088152764	46	MAGOHB
176	ENSG00000111247	184.563319355433	193.382849892994	65.6374947085219	61	RAD51AP1
177	ENSG00000111335	33.5569671555334	59.7211742316598	0	3	OAS2
178	ENSG00000111581	446.110269244149	567.825132774035	230.789900749319	230	NUP107
179	ENSG00000111640	27286.7491455597	24801.3504987764	52302.4965899971	51807	GAPDH
180	ENSG00000111674	190.485137088763	158.308509471225	366.299567244332	323	ENO2
181	ENSG00000111801	304.973613266465	281.542678520682	95.2802342543061	121	BTN3A3
182	ENSG00000111912	456.966935088587	570.668998213638	257.256632486626	303	NCOA7
183	ENSG00000112096	3468.2112524866	3695.12916119063	1992.41556518449	2574	SOD2
184	ENSG00000112308	552.702988444079	570.668998213638	886.106178565046	862	C6orf62
